date,open,high,low,close,volume,a_value,b_value,a_volume,b_volume,all_volume
2005-11-07,4.67,4.67,4.56,4.67,2333569,750697811.32,1192490717.9591,160748996,448578819,1015463124
2005-11-08,4.67,4.98,4.63,4.93,6960097,792492550.28,1234933900.0764,160748996,448578819,1015463124
2005-11-09,4.9,4.96,4.83,4.84,3437059,778025140.64,1234578625.6518,160748996,448578819,1015463124
2005-11-10,4.81,4.81,4.45,4.52,8488440,726585461.92,1191918779.9649,160748996,448578819,1015463124
2005-11-11,4.5,4.59,4.45,4.52,3308205,726585461.92,1205594153.8409,160748996,448578819,1015463124
2005-11-14,4.5,4.5,4.25,4.37,4913251,702473112.52,1187700344.751,160748996,448578819,1015463124
2005-11-15,4.37,4.47,4.3,4.34,2474338,697650642.64,1163538543.8232,160748996,448578819,1015463124
2005-11-16,4.34,4.34,4.12,4.3,2727983,691220682.8,1163538543.8232,160748996,448578819,1015463124
2005-11-17,4.28,4.45,4.26,4.32,2346768,694435662.72,1172884234.9383,160748996,448578819,1015463124
2005-11-18,4.32,4.53,4.28,4.48,5158381,720155502.08,1220081006.8005,160748996,448578819,1015463124
2005-11-21,4.45,4.57,4.45,4.48,2432348,720155502.08,1206057087.1821,160748996,448578819,1015463124
2005-11-22,4.48,4.48,4.48,4.48,--,720155502.08,1206288553.8527,160748996,448578819,1015463124
2005-11-23,4.38,4.44,4.27,4.42,2227069,710510562.32,1192033167.5637,160748996,448578819,1015463124
2005-11-24,4.38,4.56,4.38,4.46,2530319,716940522.16,1196478135.0812,160748996,448578819,1015463124
2005-11-25,4.46,4.48,4.38,4.43,1952689,712118052.28,1196363298.9036,160748996,448578819,1015463124
2005-11-28,4.42,4.55,4.39,4.52,2100220,726585461.92,1191575617.1684,160748996,448578819,1015463124
2005-11-29,4.52,4.55,4.39,4.4,1637575,707295582.4,1177783164.2206,160748996,448578819,1015463124
2005-11-30,4.39,4.4,4.29,4.3,2106756,691220682.8,1177444038.6334,160748996,448578819,1015463124
2005-12-01,4.29,4.39,4.29,4.33,1011135,696043152.68,1182229926.0533,160748996,448578819,1015463124
2005-12-02,4.35,4.36,4.18,4.19,2415263,673538293.24,1172659048.3711,160748996,448578819,1015463124
2005-12-05,4.18,4.18,3.98,3.99,2682855,641388494.04,1154082053.7399,160748996,448578819,1015463124
2005-12-06,3.95,4.08,3.88,4.02,1758031,646210963.92,1153971254.7716,160748996,448578819,1015463124
2005-12-07,4.01,4.18,4.01,4.11,1876149,660678373.56,1148968255.2033,160748996,448578819,1015463124
2005-12-08,4.13,4.22,4.12,4.18,2511388,671930803.28,1167987099.9713,160748996,448578819,1015463124
